source_id,teff_gspphot,logg_gspphot,lum_flame,radius_flame
7352984181120,5571.3965,4.7565,,
27522150632832,3430.0088,4.622,,
28076202014720,5129.0903,4.5361,0.5814917,0.962813
28312424627072,3823.0154,4.883,,
29858612862592,4997.243,4.7091,0.18099512,0.5731749
35223027626368,4260.3574,4.3938,0.22644015,0.87429875
38349763812096,4554.201,4.5993,0.19929804,0.71726274
38693361197568,5894.795,4.1045,2.0113153,1.3775512
40308268902528,3598.23,4.6105,0.052444883,0.5898514
40613210982400,5020.365,4.7943,0.13897394,0.49221924
42125039473920,3434.8687,4.9092,,
45221711481600,6129.123,4.3304,2.234919,1.3322451
47283295780864,5481.7866,4.6883,0.591427,0.85522354
48348447666944,5751.917,4.1986,1.9797716,1.4193435
49654117729024,3715.7678,4.8086,0.05210608,0.56050473
56182467991040,5972.4644,4.3474,0.9574771,1.0244467
59858959995264,3256.5967,4.9791,0.007645825,0.2751919
63810329933568,3694.9907,4.3207,0.081829734,0.71095604
71193377977600,4133.076,4.9338,0.041755106,0.39968014
71949292222848,3593.082,4.3553,0.06317843,0.6512592
75458281197696,5053.825,2.8574,48.44637,9.077022
79130477724288,4617.5874,4.6205,0.13826033,0.5828734
83154862613888,5201.674,4.491,0.4770251,0.85033464
83631603438080,4315.873,4.8982,,
84254374244992,4731.959,4.5736,0.25844228,0.76656616
84902913775104,3648.485,4.3947,0.049751166,0.56919324
85731842961920,4614.103,4.4693,0.24856433,0.7781178
91779156918656,4777.001,4.8463,,
94180042968576,3367.8708,4.1059,,
94424856774400,5454.4243,4.6263,0.36067453,0.6747793
99368363671680,4143.2217,4.6817,0.104775295,0.65878445
99608881845248,4537.04,4.6622,0.15895133,0.6443688
100231652552192,4333.6772,4.585,0.17657045,0.74789
100502235056000,3465.8152,4.6091,0.049403492,0.6227453
101193725229056,5255.366,3.6118,7.0154247,3.2407951
101880919994240,5406.7334,4.2541,1.361946,1.3308167
101983999210240,5747.842,4.4447,1.2218966,1.1248311
102220221976320,5290.9844,4.7939,,
102980431621760,5328.599,4.6995,0.24651426,0.5829279
103530187434752,5107.2725,4.4749,0.49038064,0.895463
106347686008064,5310.137,4.2931,1.2131444,1.3014382
109882443642112,4226.8433,4.644,0.14272489,0.70678073
111913963623424,5187.2363,4.6802,0.26232323,0.63298315
112326280482048,4853.9546,4.5223,0.31015167,0.7855693
113013475247616,4267.19,4.6994,0.13492331,0.66456527
114177410960640,5739.965,4.7471,,
121191092970752,5712.6187,3.7847,3.473469,1.9103305
121569050092672,4991.266,4.7958,,
124279174014976,5198.568,4.7903,,
124416612977920,4569.631,4.5961,0.24555473,0.790657
129403070422272,3568.741,4.2427,0.0819179,0.75144565
